feature,test,stat,p_value,cost,sig,keep,stat_norm,score
age,diff of means,4.137888151944523,0.0,0,✅,True,0.21202576337487228,212.03
trestbps,diff of means,4.942799216159187,0.0,10,✅,True,0.25352924300985424,23.05
chol,diff of means,9.757906240578848,0.0,20,✅,True,0.5018097117635586,23.9
thalach,diff of means,19.419719626168217,0.0,80,✅,True,1.0,12.35
oldpeak,diff of means,1.0199677419354838,0.0,80,✅,True,0.05125701264765725,0.63
sex,TVD,0.259339764847754,0.0,0,✅,True,0.012036893605488205,12.04
cp,TVD,0.5186132047030448,0.0,10,✅,True,0.025405761806380475,2.31
fbs,TVD,0.025898402170636103,0.1394,15,❌,False,0.0,0.0
restecg,TVD,0.17753843834790475,0.0,30,✅,True,0.007818987007554339,0.25
exang,TVD,0.4129951763641845,0.0,80,✅,True,0.019959799037157333,0.25
slope,TVD,0.39042206813385594,0.0,80,✅,True,0.018795866052027155,0.23
ca,TVD,0.48251733494121196,0.0,300,✅,True,0.023544557181210037,0.08
thal,TVD,0.5218209225203497,0.0,400,✅,True,0.02557116076413387,0.06
